date,open,high,low,close,Adj Close,volume
2013-05-31,717.25,720.700012,697.700012,700.5,669.413086,3083224
2013-06-03,698,701.400024,686.549988,689.150024,658.566895,1972531
2013-06-04,687.299988,693.799988,681,683.049988,652.737488,1404081
2013-06-05,682,694.400024,678.5,687.950012,657.420105,1890919
2013-06-06,683.5,689.400024,678,682.200012,651.925232,1779103
2013-06-07,681.75,693.400024,673.200012,676.150024,646.143799,2389056
2013-06-10,681.049988,687,671.5,676.349976,646.334839,1592003
2013-06-11,673.450012,680.900024,662.200012,664.900024,635.393066,2955215
2013-06-12,662,673.400024,658.450012,663.950012,634.485168,2453913
2013-06-13,657.599976,661,653.349976,655.099976,631.257019,1787434
2013-06-14,662,668.450012,659.299988,665.049988,640.84491,3741303
2013-06-17,665.599976,669.200012,657.349976,667.349976,643.061218,3267727
2013-06-18,668,668,655,657.450012,633.521545,3111642
2013-06-19,656.099976,666.599976,652.849976,665.200012,640.989502,2411739
2013-06-20,658.849976,658.849976,634.599976,636.599976,613.43042,3784511
2013-06-21,636.799988,642.549988,630.099976,635.25,612.129517,4474961
2013-06-24,631.799988,633.849976,623.75,625.349976,602.589844,2692013
2013-06-25,626,646.400024,622.400024,634,610.925049,4671608
2013-06-26,631.5,637.650024,620,622.849976,600.180847,2619005
2013-06-27,634,652.700012,622.349976,646.5,622.970032,6750890
2013-06-28,649.5,673.200012,649.099976,669.5,645.132996,5270670
2013-07-01,669,674,664.650024,668.75,644.410278,2459671
2013-07-02,668.700012,668.75,654.299988,656.549988,632.654236,2295788
2013-07-03,654,654.700012,643.599976,650.650024,626.969055,3346565
2013-07-04,653.799988,657.450012,645.700012,655.150024,631.305359,2397765
2013-07-05,660.099976,672.75,658.5,667.75,643.446716,2385874
2013-07-08,664,667.450012,652.75,660.450012,636.412415,1792324
2013-07-09,662.200012,673.75,662.200012,670.299988,645.90387,1760048
2013-07-10,670.25,671.900024,656.150024,659.299988,635.304199,1784645
